sub,trial,coh,dir,resp,rt,trialType,prob
0,142,1,2,0,0,1,0.75
0,143,1,1,0,0,1,0.75
0,144,1,2,0,0,1,0.75
0,145,0.05,1,2,0.364943894906901,0,0.75
0,146,1,1,0,0,1,0.75
0,147,1,1,0,0,1,0.75
0,148,0.15,2,1,0.860288093157578,0,0.75
0,149,1,1,0,0,1,0.75
0,150,0.15,2,2,0.439480031025596,0,0.75
0,151,1,1,0,0,1,0.75
0,152,0.15,1,2,0.388511304743588,0,0.75
0,153,1,2,0,0,1,0.75
0,154,1,2,0,0,1,0.75
0,155,1,1,0,0,1,0.75
0,156,0.05,1,1,1.5115119855036,0,0.75
0,157,1,1,0,0,1,0.75
0,158,1,2,0,0,1,0.75
0,159,1,2,0,0,1,0.75
0,160,0.15,2,1,1.28428011672804,0,0.75
0,161,1,1,0,0,1,0.75
0,162,1,2,0,0,1,0.75
0,163,0.15,1,2,0.346716878644656,0,0.75
0,164,1,1,0,0,1,0.75
0,165,1,1,0,0,1,0.75
0,166,1,1,0,0,1,0.75
0,167,1,1,0,0,1,0.75
0,168,0.15,1,2,1.28026752336882,0,0.75
0,169,1,2,0,0,1,0.75
0,170,1,1,0,0,1,0.75
0,171,1,1,0,0,1,0.75
0,172,0.05,2,1,0.368644026981201,0,0.75
0,173,1,1,0,0,1,0.75
0,174,0.05,1,2,0.563709384063259,0,0.75
0,175,1,1,0,0,1,0.75
0,176,0.15,1,1,0.554854282003362,0,0.75
0,177,1,2,0,0,1,0.75
0,178,1,2,0,0,1,0.75
0,179,1,1,0,0,1,0.75
0,180,1,1,0,0,1,0.75
0,181,0.1,2,2,2.88191112107597,0,0.75
0,182,1,2,0,0,1,0.75
0,183,1,1,0,0,1,0.75
0,184,1,1,0,0,1,0.75
0,185,1,1,0,0,1,0.75
0,186,1,2,0,0,1,0.75
0,187,1,1,0,0,1,0.75
0,188,1,1,0,0,1,0.75
0,189,0.15,2,2,0.43197037326172,0,0.75
0,190,1,1,0,0,1,0.75
0,191,1,1,0,0,1,0.75
0,192,1,2,0,0,1,0.75
0,193,1,2,0,0,1,0.75
0,194,1,1,0,0,1,0.75
0,195,1,1,0,0,1,0.75
0,196,0,2,2,4.54316136415582,0,0.75
0,197,1,1,0,0,1,0.75
0,198,1,1,0,0,1,0.75
0,199,0.05,2,2,0.481806026364211,0,0.75
0,200,1,1,0,0,1,0.75
0,201,1,1,0,0,1,0.75
0,202,1,1,0,0,1,0.75
0,203,0.15,1,1,0.891189361165743,0,0.75
0,204,1,1,0,0,1,0.75
0,205,1,1,0,0,1,0.75
0,206,1,1,0,0,1,0.75
0,207,0,1,1,0.601811698114034,0,0.75
0,208,1,1,0,0,1,0.75
0,209,0.1,1,2,0.693625596933998,0,0.75
0,210,1,1,0,0,1,0.75
0,211,1,1,0,0,1,0.75
0,212,0,1,1,1.48974652140168,0,0.75
0,213,1,1,0,0,1,0.75
0,214,1,1,0,0,1,0.75
0,215,1,1,0,0,1,0.75
0,216,0.15,1,2,0.505062258103862,0,0.75
0,217,1,1,0,0,1,0.75
0,218,1,1,0,0,1,0.75
0,219,1,1,0,0,1,0.75
0,220,0.05,2,2,0.623484450450633,0,0.75
0,221,1,1,0,0,1,0.75
0,222,1,1,0,0,1,0.75
0,223,1,1,0,0,1,0.75
0,224,0.1,2,2,0.404490139510017,0,0.75
0,225,1,1,0,0,1,0.75
0,226,0.15,2,2,0.649022547877394,0,0.75
0,227,1,1,0,0,1,0.75
0,228,1,2,0,0,1,0.75
0,229,1,1,0,0,1,0.75
