sub,prob,PSEDiff
1,50,-0.0184139925418724
1,70,0.012472598406825
1,90,0.000386963392595051
2,50,0.00475864675329778
2,70,0.0308064221202245
2,90,-0.00649968922608289
3,50,-0.016266232516
3,70,-0.0206149699264903
3,90,-0.00434099867515498
4,50,0.000448412344511383
4,70,0.0334234961595437
4,90,-0.024865354059926
5,50,-0.0107573288880429
5,70,-0.0190869828684034
5,90,-0.0223886886544014
6,50,0.0610938641104374
6,70,0.0410014631105506
6,90,0.0187201459914047
7,50,-0.0040382443845173
7,70,0.00668391685981142
7,90,-0.0099896910707107
8,50,0.0106856589520862
8,70,0.00972462992146327
8,90,-0.0328005765616372
9,50,0.0291850242845004
9,70,-0.00394404588546352
9,90,-0.0741400936819562
